dev_name,ref_units,conv_date,status,year,hud_name,hud_code,hud_units,pct_occupied,unit_delta,unit_ok,match_score,zip,address
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2021,TWIN PARKS WEST SITES 1&2,NY005012270,458,98.0,146,False,100.0,10457,2111 Lafontaine Ave
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2022,TWIN PARKS WEST SITES 1&2,NY005012270,458,97.0,146,False,100.0,10457,2111 Lafontaine Ave
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2023,TWIN PARKS EAST (SITE 9),NY005012270,458,94.0,146,False,72.3,10457,2111 Lafontaine Ave
TWIN PARKS WEST (SITES 1 & 2),312,,Construction Complete,2024,TWIN PARKS EAST (SITE 9),NY005012270,458,90.0,146,False,72.3,10457,2111 Lafontaine Ave
WEST BRIGHTON I,490,,Under Construction,2015,WEST BRIGHTON I & II,NY005010130,633,89.0,143,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2016,WEST BRIGHTON I & II,NY005010130,632,89.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2017,WEST BRIGHTON I & II,NY005010130,632,90.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2018,WEST BRIGHTON I & II,NY005010130,632,89.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2019,WEST BRIGHTON I & II,NY005010130,632,88.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2020,WEST BRIGHTON I & II,NY005010130,632,88.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2021,WEST BRIGHTON I & II,NY005010130,632,87.0,142,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2022,WEST BRIGHTON I & II,NY005010130,633,84.0,143,True,90.9,10310,820 Henderson Ave
WEST BRIGHTON I,490,,Under Construction,2023,WEST BRIGHTON I & II,NY005010130,633,83.0,143,True,90.9,10310,820 Henderson Ave
WILLIAMSBURG,1621,,Construction Complete,2015,WILLIAMSBURG,NY005000020,1620,99.0,-1,True,100.0,11206,125 Ten Eyck St
WILLIAMSBURG,1621,,Construction Complete,2016,WILLIAMSBURG,NY005000020,1620,99.0,-1,True,100.0,11206,125 Ten Eyck St
WILLIAMSBURG,1621,,Construction Complete,2017,WILLIAMSBURG,NY005000020,1620,99.0,-1,True,100.0,11206,125 Ten Eyck St
WILLIAMSBURG,1621,,Construction Complete,2018,WILLIAMSBURG,NY005000020,1620,98.0,-1,True,100.0,11206,125 Ten Eyck St
WILLIAMSBURG,1621,,Construction Complete,2019,WILLIAMSBURG,NY005000020,1620,95.0,-1,True,100.0,11206,125 Ten Eyck St
WILLIAMSBURG,1621,,Construction Complete,2020,WILLIAMSBURG,NY005000020,1621,95.0,0,True,100.0,11206,125 Ten Eyck St
