year,name,hud_code,pha_entity,address,city,zip,latitude,longitude,total_units,pct_occupied,people_per_unit,people_total,pct_reported,months_since_report,pct_movein,months_from_movein,months_waiting,hh_income,rent_per_month,pct_lt30_median,pct_female_head,pct_female_head_child,pct_disabled_all,pct_age62plus,pct_minority,pct_black_nonhsp,pct_hispanic,pct_overhoused
2015,E.R. MOORE,NY005010930,NY New York NY005010930 E.R. MOORE,525 Jackson Ave,Bronx,10455,40.812681,,463.0,99.0,2.5,1117.0,99.0,5.0,3.0,207.0,,20980.0,470.0,69.0,76.0,32.0,21.0,32.0,98.0,33.0,65.0,25.0
2015,SEN. ROBERT A. TAFT,NY005010970,NY New York NY005010970 SEN. ROBERT A. TAFT,1365 5th Ave,New York,10029,40.79865,,1563.0,99.0,2.2,3333.0,99.0,5.0,3.0,272.0,,24996.0,530.0,58.0,76.0,29.0,22.0,38.0,98.0,46.0,49.0,28.0
2015,OCEAN BAY (BAYSIDE),NY005010980,NY New York NY005010980 OCEAN BAY (BAYSIDE),441 Beach 51st St,Queens,11691,40.596452,,1806.0,97.0,2.6,4492.0,100.0,4.0,8.0,164.0,,23851.0,525.0,60.0,78.0,38.0,16.0,26.0,97.0,62.0,34.0,20.0
2015,SAMUEL GOMPERS,NY005011000,NY New York NY005011000 SAMUEL GOMPERS,100 Pitt St,New York,10002,40.719409,,1504.0,99.0,2.1,3012.0,99.0,6.0,2.0,229.0,,24132.0,493.0,67.0,66.0,17.0,25.0,59.0,91.0,16.0,46.0,19.0
2015,GOUVERNEUR MORRIS I,NY005011020,NY New York NY005011020 GOUVERNEUR MORRIS I,1465 Washington Ave Apt,Bronx,10456,40.837168,,1885.0,99.0,2.6,4878.0,99.0,4.0,4.0,204.0,,21480.0,483.0,69.0,79.0,38.0,18.0,31.0,99.0,45.0,54.0,25.0
2015,PS 139 RENAISSANCE,NY005011110,NY New York NY005011110 PS 139 RENAISSANCE,120 W 140th St,New York,10030,40.817457,,125.0,95.0,1.1,123.0,97.0,3.0,3.0,117.0,,15070.0,344.0,78.0,59.0,,54.0,98.0,99.0,64.0,34.0,
2015,RICHMOND TERRACE,NY005011170,NY New York NY005011170 RICHMOND TERRACE,145 Cassidy Pl,Staten Island,10301,40.641984,,867.0,99.0,2.1,1775.0,100.0,4.0,6.0,128.0,,17296.0,397.0,77.0,74.0,29.0,24.0,53.0,81.0,48.0,26.0,12.0
2015,"W.S.U.R. SITES A, B & C",NY005011270,"NY New York NY005011270 W.S.U.R. SITES A, B & C",201 W 93rd St,New York,10025,40.79228,,978.0,98.0,1.8,1738.0,98.0,5.0,3.0,230.0,,24516.0,493.0,62.0,71.0,19.0,27.0,48.0,93.0,34.0,53.0,18.0
2015,TOMPKINS,NY005011310,NY New York NY005011310 TOMPKINS,760 Park Ave,Brooklyn,11206,40.697965,,1195.0,99.0,2.7,3212.0,100.0,4.0,3.0,217.0,,23535.0,527.0,64.0,79.0,38.0,20.0,30.0,98.0,49.0,47.0,27.0
2015,1010 E. 178TH ST.,NY005011330,NY New York NY005011330 1010 E. 178TH ST.,1010 E 178th St,Bronx,10460,40.841227,,218.0,100.0,2.1,444.0,95.0,6.0,2.0,176.0,,21776.0,456.0,71.0,72.0,28.0,29.0,35.0,99.0,39.0,59.0,13.0
